지점,지점명,일시,강수량(mm),강수량 QC플래그
90,속초,1982-01-02 00:00,,9
90,속초,1982-01-03 00:00,,9
90,속초,1982-01-03 03:00,1.2,0
90,속초,1982-01-04 00:00,,9
90,속초,1982-01-04 03:00,7.7,0
90,속초,1982-01-04 09:00,4.2,0
90,속초,1982-01-04 21:00,0,0
90,속초,1982-01-05 00:00,,9
90,속초,1982-01-05 03:00,.1,0
90,속초,1982-01-05 09:00,1.1,0
90,속초,1982-01-05 15:00,6.6,0
90,속초,1982-01-05 21:00,.3,0
90,속초,1982-01-06 00:00,,9
90,속초,1982-01-07 00:00,,9
90,속초,1982-01-07 03:00,7.6,0
90,속초,1982-01-07 09:00,.7,0
90,속초,1982-01-08 00:00,,9
90,속초,1982-01-09 00:00,,9
90,속초,1982-01-10 00:00,,9
90,속초,1982-01-11 00:00,,9
90,속초,1982-01-11 15:00,0,0
90,속초,1982-01-12 00:00,,9
90,속초,1982-01-13 00:00,,9
90,속초,1982-01-14 00:00,,9
90,속초,1982-01-15 00:00,,9
90,속초,1982-01-16 00:00,,9
90,속초,1982-01-16 09:00,.7,0
90,속초,1982-01-16 15:00,6.6,0
90,속초,1982-01-16 21:00,9.1,0
90,속초,1982-01-17 00:00,,9
90,속초,1982-01-18 00:00,,9
90,속초,1982-01-19 00:00,,9
90,속초,1982-01-20 00:00,,9
90,속초,1982-01-21 00:00,,9
90,속초,1982-01-22 00:00,,9
90,속초,1982-01-22 21:00,0,0
90,속초,1982-01-23 00:00,,9
90,속초,1982-01-24 00:00,,9
90,속초,1982-01-25 00:00,,9
90,속초,1982-01-26 00:00,,9
90,속초,1982-01-27 00:00,,9
90,속초,1982-01-27 15:00,0,0
90,속초,1982-01-28 00:00,,9
90,속초,1982-01-29 00:00,,9
90,속초,1982-01-30 00:00,,9
90,속초,1982-01-31 00:00,,9
90,속초,1982-02-01 00:00,,9
90,속초,1982-02-02 00:00,,9
90,속초,1982-02-03 00:00,,9
90,속초,1982-02-04 00:00,,9
90,속초,1982-02-04 03:00,1.4,0
90,속초,1982-02-04 09:00,.3,0
90,속초,1982-02-04 15:00,6,0
90,속초,1982-02-04 21:00,5.6,0
90,속초,1982-02-05 00:00,,9
90,속초,1982-02-05 03:00,1.3,0
90,속초,1982-02-05 09:00,4,0
90,속초,1982-02-05 15:00,.2,0
90,속초,1982-02-06 00:00,,9
90,속초,1982-02-07 00:00,,9
90,속초,1982-02-08 00:00,,9
90,속초,1982-02-09 00:00,,9
90,속초,1982-02-10 00:00,,9
90,속초,1982-02-11 00:00,,9
90,속초,1982-02-12 00:00,,9
90,속초,1982-02-13 00:00,,9
90,속초,1982-02-13 03:00,0,0
90,속초,1982-02-13 09:00,5.9,0
90,속초,1982-02-13 15:00,2.3,0
90,속초,1982-02-13 21:00,.1,0
90,속초,1982-02-14 00:00,,9
90,속초,1982-02-14 03:00,.1,0
90,속초,1982-02-14 09:00,.2,0
90,속초,1982-02-14 15:00,.9,0
90,속초,1982-02-15 00:00,,9
90,속초,1982-02-16 00:00,,9
90,속초,1982-02-17 00:00,,9
90,속초,1982-02-18 00:00,,9
90,속초,1982-02-19 00:00,,9
90,속초,1982-02-19 09:00,0,0
90,속초,1982-02-19 15:00,2.7,0
