지점,지점명,일시,강수량(mm),강수량 QC플래그
90,속초,1991-04-18 10:00,.3,0
90,속초,1991-04-18 11:00,.2,0
90,속초,1991-04-29 00:00,0,0
90,속초,1991-04-29 01:00,0,0
90,속초,1991-04-29 02:00,.2,0
90,속초,1991-04-29 03:00,0,0
90,속초,1991-04-29 04:00,0,0
90,속초,1991-04-29 05:00,1,0
90,속초,1991-04-29 06:00,1.1,0
90,속초,1991-04-29 07:00,.5,0
90,속초,1991-04-29 08:00,1.5,0
90,속초,1991-04-29 09:00,0,0
90,속초,1991-04-30 20:00,.2,0
90,속초,1991-04-30 21:00,.2,0
90,속초,1991-04-30 22:00,3.4,0
90,속초,1991-04-30 23:00,0,0
90,속초,1991-05-01 00:00,0,0
90,속초,1991-05-02 21:00,0,0
90,속초,1991-05-06 16:00,0,0
90,속초,1991-05-06 17:00,0,0
90,속초,1991-05-06 18:00,.2,0
90,속초,1991-05-06 19:00,.2,0
90,속초,1991-05-06 20:00,.8,0
90,속초,1991-05-06 21:00,.2,0
90,속초,1991-05-06 22:00,0,0
90,속초,1991-05-06 23:00,0,0
90,속초,1991-05-07 00:00,.1,0
90,속초,1991-05-07 01:00,0,0
90,속초,1991-05-07 02:00,.2,0
90,속초,1991-05-07 03:00,.3,0
90,속초,1991-05-07 04:00,0,0
90,속초,1991-05-07 05:00,.1,0
90,속초,1991-05-07 06:00,0,0
90,속초,1991-05-07 07:00,0,0
90,속초,1991-05-07 08:00,0,0
90,속초,1991-05-07 09:00,0,0
90,속초,1991-05-07 10:00,0,0
90,속초,1991-05-07 11:00,0,0
90,속초,1991-05-10 14:00,0,0
90,속초,1991-05-10 15:00,0,0
90,속초,1991-05-10 18:00,0,0
90,속초,1991-05-15 19:00,.4,0
90,속초,1991-05-15 20:00,2.3,0
90,속초,1991-05-15 21:00,0,0
90,속초,1991-05-15 22:00,0,0
90,속초,1991-05-15 23:00,0,0
90,속초,1991-05-16 00:00,1.7,0
90,속초,1991-05-16 01:00,0,0
90,속초,1991-05-16 02:00,.7,0
90,속초,1991-05-16 03:00,.8,0
90,속초,1991-05-24 11:00,0,0
90,속초,1991-05-24 12:00,0,0
90,속초,1991-05-24 14:00,.1,0
90,속초,1991-05-24 15:00,0,0
90,속초,1991-05-24 16:00,.1,0
90,속초,1991-05-24 17:00,.3,0
90,속초,1991-05-24 18:00,.2,0
90,속초,1991-05-24 19:00,.1,0
90,속초,1991-05-24 20:00,.2,0
90,속초,1991-05-24 21:00,0,0
90,속초,1991-05-24 22:00,0,0
90,속초,1991-05-24 23:00,0,0
90,속초,1991-05-25 07:00,.3,0
90,속초,1991-05-25 08:00,.7,0
90,속초,1991-05-25 09:00,.9,0
90,속초,1991-05-25 10:00,1.5,0
90,속초,1991-05-25 11:00,.2,0
90,속초,1991-05-25 12:00,.2,0
90,속초,1991-05-25 13:00,.2,0
90,속초,1991-05-25 14:00,0,0
90,속초,1991-05-25 15:00,0,0
90,속초,1991-05-25 16:00,0,0
90,속초,1991-05-25 17:00,.2,0
90,속초,1991-05-25 18:00,.1,0
90,속초,1991-05-25 19:00,.4,0
90,속초,1991-05-25 20:00,.3,0
90,속초,1991-05-25 21:00,3.7,0
90,속초,1991-05-25 22:00,2,0
90,속초,1991-05-25 23:00,1.6,0
90,속초,1991-05-26 00:00,2.2,0
90,속초,1991-05-26 01:00,1.2,0
90,속초,1991-05-26 02:00,5.6,0
90,속초,1991-05-26 03:00,1.5,0
90,속초,1991-05-26 04:00,3.3,0
90,속초,1991-05-26 05:00,5.4,0
90,속초,1991-05-26 06:00,3,0
90,속초,1991-05-26 07:00,5,0
90,속초,1991-05-26 08:00,3,0
90,속초,1991-05-26 09:00,5,0
90,속초,1991-05-26 10:00,3.2,0
90,속초,1991-05-26 11:00,3.1,0
90,속초,1991-05-26 12:00,2.4,0
90,속초,1991-05-26 13:00,2,0
90,속초,1991-05-26 14:00,2.3,0
90,속초,1991-05-26 15:00,2.6,0
90,속초,1991-05-26 16:00,.5,0
90,속초,1991-05-26 17:00,1.7,0
90,속초,1991-05-26 18:00,1.2,0
90,속초,1991-05-26 19:00,1.5,0
90,속초,1991-05-26 20:00,.3,0
90,속초,1991-05-26 21:00,.2,0
90,속초,1991-05-26 22:00,0,0
90,속초,1991-05-26 23:00,0,0
90,속초,1991-06-09 10:00,.5,0
90,속초,1991-06-09 11:00,.5,0
90,속초,1991-06-09 12:00,.3,0
90,속초,1991-06-09 13:00,2.5,0
90,속초,1991-06-09 14:00,1.2,0
90,속초,1991-06-09 15:00,.7,0
90,속초,1991-06-09 16:00,.3,0
90,속초,1991-06-09 17:00,0,0
90,속초,1991-06-11 10:00,.2,0
90,속초,1991-06-11 11:00,0,0
90,속초,1991-06-11 15:00,.1,0
90,속초,1991-06-11 16:00,.2,0
90,속초,1991-06-11 17:00,.3,0
90,속초,1991-06-11 18:00,0,0
90,속초,1991-06-12 06:00,.4,0
90,속초,1991-06-23 17:00,.1,0
90,속초,1991-06-23 18:00,0,0
90,속초,1991-06-23 19:00,0,0
90,속초,1991-06-23 22:00,.2,0
90,속초,1991-06-23 23:00,.1,0
90,속초,1991-06-26 03:00,0,0
90,속초,1991-06-26 04:00,.1,0
90,속초,1991-06-26 05:00,.1,0
90,속초,1991-06-26 06:00,.3,0
90,속초,1991-06-26 07:00,0,0
90,속초,1991-06-26 08:00,0,0
90,속초,1991-06-26 09:00,0,0
90,속초,1991-06-26 10:00,0,0
90,속초,1991-06-29 09:00,1,0
90,속초,1991-06-29 10:00,.2,0
90,속초,1991-06-29 11:00,.1,0
90,속초,1991-06-29 12:00,.2,0
90,속초,1991-06-29 13:00,2.5,0
90,속초,1991-06-29 14:00,.2,0
90,속초,1991-06-29 15:00,1.8,0
90,속초,1991-06-29 16:00,.1,0
90,속초,1991-06-30 22:00,.1,0
90,속초,1991-06-30 23:00,.6,0
90,속초,1991-07-01 00:00,.3,0
90,속초,1991-07-01 01:00,0,0
90,속초,1991-07-01 02:00,4.8,0
90,속초,1991-07-01 03:00,0,0
90,속초,1991-07-01 04:00,.5,0
90,속초,1991-07-01 05:00,1.3,0
90,속초,1991-07-01 06:00,0,0
90,속초,1991-07-01 08:00,0,0
90,속초,1991-07-01 09:00,0,0
90,속초,1991-07-01 10:00,0,0
90,속초,1991-07-01 16:00,.6,0
90,속초,1991-07-01 17:00,2.1,0
90,속초,1991-07-01 18:00,3.4,0
90,속초,1991-07-01 19:00,5.1,0
90,속초,1991-07-01 20:00,7,0
90,속초,1991-07-01 21:00,1.4,0
90,속초,1991-07-01 22:00,1.2,0
90,속초,1991-07-01 23:00,0,0
90,속초,1991-07-02 00:00,0,0
90,속초,1991-07-02 01:00,0,0
90,속초,1991-07-02 06:00,0,0
90,속초,1991-07-02 07:00,.1,0
90,속초,1991-07-02 08:00,0,0
90,속초,1991-07-04 07:00,0,0
90,속초,1991-07-04 08:00,0,0
90,속초,1991-07-04 09:00,0,0
90,속초,1991-07-04 10:00,0,0
90,속초,1991-07-04 11:00,0,0
90,속초,1991-07-05 21:00,0,0
90,속초,1991-07-05 22:00,0,0
90,속초,1991-07-07 07:00,.1,0
90,속초,1991-07-07 08:00,.9,0
90,속초,1991-07-07 09:00,.4,0
90,속초,1991-07-07 10:00,.8,0
90,속초,1991-07-07 11:00,.3,0
90,속초,1991-07-07 12:00,.6,0
90,속초,1991-07-07 13:00,3.1,0
90,속초,1991-07-07 14:00,5.2,0
90,속초,1991-07-07 15:00,7.7,0
90,속초,1991-07-07 16:00,4.6,0
90,속초,1991-07-07 17:00,8.3,0
90,속초,1991-07-07 18:00,5.5,0
