지점,지점명,일시,강수량(mm),강수량 QC플래그
90,속초,1985-01-02 00:00,,9
90,속초,1985-01-03 00:00,,9
90,속초,1985-01-04 00:00,,9
90,속초,1985-01-05 00:00,,9
90,속초,1985-01-06 00:00,,9
90,속초,1985-01-07 00:00,,9
90,속초,1985-01-08 00:00,,9
90,속초,1985-01-09 00:00,,9
90,속초,1985-01-10 00:00,,9
90,속초,1985-01-10 03:00,.2,0
90,속초,1985-01-10 06:00,.1,0
90,속초,1985-01-11 00:00,,9
90,속초,1985-01-12 00:00,,9
90,속초,1985-01-12 03:00,0,0
90,속초,1985-01-12 06:00,0,0
90,속초,1985-01-12 09:00,0,0
90,속초,1985-01-13 00:00,,9
90,속초,1985-01-14 00:00,,9
90,속초,1985-01-15 00:00,,9
90,속초,1985-01-15 12:00,0,0
90,속초,1985-01-15 15:00,0,0
90,속초,1985-01-15 21:00,0,0
90,속초,1985-01-16 00:00,,9
90,속초,1985-01-17 00:00,,9
90,속초,1985-01-18 00:00,,9
90,속초,1985-01-19 00:00,,9
90,속초,1985-01-19 15:00,1.1,0
90,속초,1985-01-19 18:00,.2,0
90,속초,1985-01-20 00:00,,9
90,속초,1985-01-21 00:00,,9
90,속초,1985-01-22 00:00,,9
90,속초,1985-01-23 00:00,,9
90,속초,1985-01-24 00:00,,9
90,속초,1985-01-25 00:00,,9
90,속초,1985-01-26 00:00,,9
90,속초,1985-01-27 00:00,,9
90,속초,1985-01-27 15:00,0,0
90,속초,1985-01-27 18:00,0,0
90,속초,1985-01-28 00:00,,9
90,속초,1985-01-29 00:00,,9
90,속초,1985-01-30 00:00,,9
90,속초,1985-01-31 00:00,,9
90,속초,1985-02-01 00:00,0,0
90,속초,1985-02-01 03:00,0,0
90,속초,1985-02-02 00:00,,9
90,속초,1985-02-03 00:00,,9
90,속초,1985-02-04 00:00,,9
90,속초,1985-02-05 00:00,,9
90,속초,1985-02-06 00:00,,9
90,속초,1985-02-07 00:00,,9
90,속초,1985-02-08 00:00,,9
90,속초,1985-02-09 00:00,1.2,0
90,속초,1985-02-09 03:00,3.1,0
90,속초,1985-02-09 06:00,0,0
90,속초,1985-02-09 09:00,.1,0
90,속초,1985-02-09 12:00,1,0
90,속초,1985-02-09 15:00,3.1,0
90,속초,1985-02-09 18:00,2.5,0
90,속초,1985-02-09 21:00,1.1,0
90,속초,1985-02-10 00:00,.3,0
90,속초,1985-02-10 03:00,.2,0
90,속초,1985-02-10 06:00,.6,0
90,속초,1985-02-10 09:00,2.6,0
90,속초,1985-02-10 12:00,0,0
90,속초,1985-02-11 00:00,,9
90,속초,1985-02-12 00:00,,9
90,속초,1985-02-13 00:00,,9
90,속초,1985-02-13 09:00,0,0
90,속초,1985-02-13 12:00,0,0
90,속초,1985-02-14 00:00,,9
90,속초,1985-02-15 00:00,,9
90,속초,1985-02-16 00:00,.1,0
90,속초,1985-02-16 03:00,.2,0
90,속초,1985-02-16 09:00,0,0
90,속초,1985-02-16 18:00,3.2,0
90,속초,1985-02-16 21:00,.6,0
90,속초,1985-02-17 00:00,,9
90,속초,1985-02-17 09:00,0,0
90,속초,1985-02-17 12:00,1.2,0
90,속초,1985-02-17 15:00,1.5,0
90,속초,1985-02-17 18:00,.3,0
90,속초,1985-02-18 00:00,,9
90,속초,1985-02-18 06:00,0,0
90,속초,1985-02-18 09:00,.4,0
90,속초,1985-02-18 12:00,0,0
90,속초,1985-02-19 00:00,,9
90,속초,1985-02-19 03:00,.1,0
90,속초,1985-02-19 06:00,.3,0
90,속초,1985-02-19 09:00,.7,0
90,속초,1985-02-19 12:00,6.1,0
90,속초,1985-02-19 15:00,1.3,0
90,속초,1985-02-19 18:00,0,0
90,속초,1985-02-20 00:00,,9
90,속초,1985-02-20 15:00,0,0
90,속초,1985-02-21 00:00,,9
90,속초,1985-02-22 00:00,,9
90,속초,1985-02-23 00:00,,9
90,속초,1985-02-24 00:00,,9
90,속초,1985-02-25 00:00,,9
90,속초,1985-02-26 00:00,,9
90,속초,1985-02-27 00:00,,9
90,속초,1985-02-27 09:00,0,0
90,속초,1985-02-27 12:00,0,0
90,속초,1985-02-27 18:00,0,0
90,속초,1985-02-27 21:00,.9,0
90,속초,1985-02-28 00:00,1.9,0
90,속초,1985-02-28 03:00,.5,0
90,속초,1985-02-28 06:00,1.5,0
90,속초,1985-02-28 09:00,.7,0
90,속초,1985-02-28 12:00,1,0
90,속초,1985-02-28 18:00,.2,0
90,속초,1985-02-28 21:00,.2,0
90,속초,1985-03-01 00:00,,9
90,속초,1985-03-01 18:00,0,0
90,속초,1985-03-01 21:00,0,0
90,속초,1985-03-02 00:00,,9
90,속초,1985-03-02 15:00,0,0
90,속초,1985-03-02 18:00,.2,0
90,속초,1985-03-02 21:00,0,0
90,속초,1985-03-03 00:00,.1,0
90,속초,1985-03-03 03:00,0,0
90,속초,1985-03-03 06:00,.1,0
90,속초,1985-03-03 09:00,0,0
90,속초,1985-03-03 12:00,2.6,0
90,속초,1985-03-04 00:00,,9
90,속초,1985-03-05 00:00,,9
90,속초,1985-03-06 00:00,,9
90,속초,1985-03-07 00:00,,9
90,속초,1985-03-08 00:00,,9
90,속초,1985-03-08 03:00,0,0
90,속초,1985-03-08 06:00,7.3,0
90,속초,1985-03-08 09:00,7.5,0
90,속초,1985-03-08 12:00,4.6,0
90,속초,1985-03-08 15:00,.6,0
90,속초,1985-03-08 18:00,.2,0
90,속초,1985-03-09 00:00,,9
90,속초,1985-03-10 00:00,,9
90,속초,1985-03-11 00:00,,9
90,속초,1985-03-12 00:00,,9
90,속초,1985-03-13 00:00,,9
90,속초,1985-03-14 00:00,,9
90,속초,1985-03-14 18:00,0,0
90,속초,1985-03-14 21:00,1.2,0
90,속초,1985-03-15 00:00,,9
90,속초,1985-03-15 06:00,.1,0
90,속초,1985-03-15 09:00,.4,0
90,속초,1985-03-15 12:00,.1,0
90,속초,1985-03-16 00:00,,9
90,속초,1985-03-17 00:00,,9
90,속초,1985-03-18 00:00,,9
90,속초,1985-03-19 00:00,,9
90,속초,1985-03-20 00:00,,9
90,속초,1985-03-21 00:00,,9
90,속초,1985-03-22 00:00,,9
90,속초,1985-03-22 15:00,0,0
90,속초,1985-03-22 18:00,0,0
90,속초,1985-03-23 00:00,,9
90,속초,1985-03-24 00:00,,9
90,속초,1985-03-25 00:00,,9
90,속초,1985-03-25 06:00,0,0
90,속초,1985-03-25 09:00,2.4,0
90,속초,1985-03-25 12:00,6.1,0
90,속초,1985-03-25 15:00,4.6,0
90,속초,1985-03-25 18:00,0,0
90,속초,1985-03-26 00:00,,9
90,속초,1985-03-27 00:00,,9
90,속초,1985-03-27 03:00,1.2,0
90,속초,1985-03-27 06:00,2.5,0
90,속초,1985-03-27 09:00,.1,0
90,속초,1985-03-27 12:00,.7,0
90,속초,1985-03-28 00:00,,9
90,속초,1985-03-29 00:00,,9
90,속초,1985-03-30 00:00,,9
90,속초,1985-03-31 00:00,,9
90,속초,1985-04-01 00:00,,9
90,속초,1985-04-02 00:00,,9
90,속초,1985-04-03 00:00,,9
90,속초,1985-04-03 08:00,0,0
90,속초,1985-04-03 09:00,0,0
90,속초,1985-04-03 10:00,.3,0
90,속초,1985-04-03 11:00,.8,0
90,속초,1985-04-03 12:00,1.6,0
90,속초,1985-04-03 13:00,3.3,0
90,속초,1985-04-03 14:00,6.6,0
90,속초,1985-04-03 15:00,6.1,0
90,속초,1985-04-03 16:00,5.9,0
90,속초,1985-04-03 17:00,2.9,0
90,속초,1985-04-03 18:00,4.7,0
90,속초,1985-04-03 19:00,2.1,0
90,속초,1985-04-03 20:00,2,0
90,속초,1985-04-03 21:00,3.8,0
90,속초,1985-04-03 22:00,4.2,0
90,속초,1985-04-03 23:00,2.3,0
90,속초,1985-04-04 00:00,1,0
90,속초,1985-04-04 01:00,.3,0
90,속초,1985-04-04 02:00,.3,0
90,속초,1985-04-04 04:00,0,0
90,속초,1985-04-04 05:00,.1,0
90,속초,1985-04-04 06:00,.2,0
90,속초,1985-04-04 07:00,0,0
90,속초,1985-04-05 00:00,,9
90,속초,1985-04-06 00:00,,9
90,속초,1985-04-07 00:00,,9
90,속초,1985-04-08 00:00,,9
90,속초,1985-04-09 00:00,,9
90,속초,1985-04-10 00:00,,9
90,속초,1985-04-11 00:00,,9
90,속초,1985-04-11 04:00,0,0
90,속초,1985-04-11 05:00,0,0
90,속초,1985-04-11 10:00,0,0
90,속초,1985-04-11 11:00,0,0
90,속초,1985-04-11 12:00,0,0
90,속초,1985-04-11 13:00,0,0
90,속초,1985-04-12 00:00,,9
90,속초,1985-04-13 00:00,,9
90,속초,1985-04-14 00:00,,9
90,속초,1985-04-15 00:00,,9
90,속초,1985-04-16 00:00,,9
90,속초,1985-04-17 00:00,,9
90,속초,1985-04-17 06:00,0,0
90,속초,1985-04-17 07:00,0,0
90,속초,1985-04-17 08:00,.1,0
90,속초,1985-04-17 11:00,0,0
90,속초,1985-04-17 12:00,.2,0
90,속초,1985-04-17 13:00,.7,0
90,속초,1985-04-17 15:00,0,0
90,속초,1985-04-17 16:00,.1,0
90,속초,1985-04-17 17:00,0,0
90,속초,1985-04-18 00:00,,9
90,속초,1985-04-19 00:00,,9
90,속초,1985-04-19 05:00,.5,0
90,속초,1985-04-19 06:00,.2,0
90,속초,1985-04-19 07:00,0,0
90,속초,1985-04-19 15:00,0,0
90,속초,1985-04-19 16:00,.1,0
90,속초,1985-04-19 18:00,0,0
90,속초,1985-04-19 20:00,1.4,0
90,속초,1985-04-19 21:00,0,0
90,속초,1985-04-20 00:00,,9
90,속초,1985-04-21 00:00,,9
90,속초,1985-04-22 00:00,,9
90,속초,1985-04-22 15:00,0,0
90,속초,1985-04-22 16:00,.1,0
90,속초,1985-04-22 18:00,0,0
90,속초,1985-04-23 00:00,,9
90,속초,1985-04-23 10:00,0,0
90,속초,1985-04-23 11:00,0,0
90,속초,1985-04-23 12:00,0,0
90,속초,1985-04-23 13:00,0,0
90,속초,1985-04-23 15:00,0,0
90,속초,1985-04-23 16:00,0,0
90,속초,1985-04-23 17:00,0,0
90,속초,1985-04-24 00:00,,9
90,속초,1985-04-25 00:00,,9
90,속초,1985-04-26 00:00,,9
90,속초,1985-04-26 06:00,0,0
90,속초,1985-04-26 07:00,.8,0
90,속초,1985-04-26 08:00,2.3,0
90,속초,1985-04-26 09:00,2,0
90,속초,1985-04-26 10:00,1.7,0
90,속초,1985-04-26 11:00,2.2,0
90,속초,1985-04-26 12:00,1.6,0
90,속초,1985-04-26 13:00,0,0
90,속초,1985-04-27 00:00,,9
90,속초,1985-04-28 00:00,,9
90,속초,1985-04-29 00:00,,9
90,속초,1985-04-30 00:00,,9
90,속초,1985-05-01 00:00,,9
90,속초,1985-05-02 00:00,,9
90,속초,1985-05-03 00:00,,9
90,속초,1985-05-04 00:00,,9
90,속초,1985-05-05 00:00,0,0
90,속초,1985-05-05 01:00,0,0
90,속초,1985-05-05 02:00,0,0
90,속초,1985-05-05 03:00,0,0
90,속초,1985-05-05 04:00,0,0
90,속초,1985-05-05 05:00,.5,0
90,속초,1985-05-05 06:00,2,0
